"","Station_ID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Analyte"
"1","10393",7,6,6,6,6,6,6,303,9,11,9,8,6,7,6,6,3,"pH"
"2","10596",6,10,10,10,6,9,8,16,6,7,7,7,7,7,6,6,5,"pH"
"3","11485",6,6,6,6,6,6,6,300,7,6,6,6,5,2,NA,NA,NA,"pH"
"4","11486",9,10,10,6,16,12,12,9,11,8,8,19,7,9,6,6,3,"pH"
"5","13570",17,8,10,12,10,12,8,7,9,488,6,7,7,7,8,8,7,"pH"
"6","13574",7,6,6,8,6,6,6,7,7,6,7,6,7,10,6,6,3,"pH"
"7","10393",3714,6,6,6,6,6,6,307,12,6,9,6,6,6,6,6,3,"Temperature"
"8","10596",6,12,12,8,15,7,7,18,13,7,9,7,6,6,6,6,4,"Temperature"
"9","11485",6,9,10,4616,11,6,6,305,14,6,3415,6,5,1,NA,NA,NA,"Temperature"
"10","11486",8,9,11,6,11,9,9,12,14,8,3418,15,6,6,6,6,3,"Temperature"
"11","13570",16,11,9,9,8,9,7,6,7,488,6,6,6,6,7,7,5,"Temperature"
"12","13574",7,6,6,7,6,6,6,6,6,6,6,6,6,10,6,6,3,"Temperature"
"13","29316",NA,NA,1,16,25,25,23,25,21,17,18,10,6,6,7,5,1,"Temperature"
"14","31450",NA,1,NA,NA,29,49,46,43,41,38,37,18,12,8,15,13,2,"Temperature"
"15","31561",NA,NA,NA,NA,14,24,24,24,20,17,19,8,6,5,7,5,1,"Temperature"
"16","10393",12,12,9,6,6,6,6,16,17,6,12,6,6,6,6,6,3,"E. coli"
"17","10596",12,20,17,8,17,7,7,19,21,7,11,7,6,6,5,6,4,"E. coli"
"18","11485",12,15,13,6,11,6,6,12,16,6,12,6,5,1,NA,NA,NA,"E. coli"
"19","11486",16,17,15,6,11,9,9,12,16,8,13,8,6,6,6,6,3,"E. coli"
"20","13570",29,18,12,9,8,9,7,6,7,6,6,6,6,6,7,7,5,"E. coli"
"21","13574",14,12,9,7,6,6,6,6,6,6,5,6,6,6,6,6,3,"E. coli"
"22","21ORBCH-29316",NA,NA,NA,9,13,17,18,16,7,9,11,5,3,5,2,2,NA,"Enterococcus"
"23","21ORBCH-31450",NA,NA,NA,NA,26,37,37,36,27,33,33,3,12,15,15,13,NA,"Enterococcus"
"24","21ORBCH-31561",NA,NA,NA,NA,10,19,15,17,11,15,18,3,6,9,7,5,NA,"Enterococcus"
"25","29316",NA,NA,1,17,25,26,23,26,21,17,18,10,6,3,2,2,NA,"Enterococcus"
"26","31450",NA,1,NA,NA,29,51,46,44,41,38,37,18,12,8,15,13,2,"Enterococcus"
"27","31561",NA,NA,NA,NA,14,25,24,25,20,17,19,9,6,5,7,5,1,"Enterococcus"
